#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Roles|value
#T_SP=webanno.custom.Terms|value
#T_SP=webanno.custom.Types|value
#T_RL=webanno.custom.RoleArrow|value|BT_webanno.custom.Roles
#T_RL=webanno.custom.TypeArrow|value|BT_webanno.custom.Types


#Text=For buildings with a capacity of not more than 300 students the height of classrooms must be at least 3.0 m.
1-1	0-3	For	Subject[1]	_	Relation	_	_	_	_	
1-2	4-13	buildings	Subject[1]	IfcBuilding	Class	_	_	Range|Domain	1-1|1-5	
1-3	14-18	with	Subject[1]	_	_	_	_	_	_	
1-4	19-20	a	Subject[1]	_	_	_	_	_	_	
1-5	21-29	capacity	Subject[1]	_	Property	_	_	_	_	
1-6	30-32	of	Subject[1]	_	_	_	_	_	_	
1-7	33-36	not	Subject[1]	_	Comparison[3]	_	_	_	_	
1-8	37-41	more	Subject[1]	_	Comparison[3]	_	_	_	_	
1-9	42-46	than	Subject[1]	_	Comparison[3]	_	_	_	_	
1-10	47-50	300	Subject[1]	_	Literal	_	_	Range|Of	1-5|1-7[3_0]	
1-11	51-59	students	Subject[1]	_	_	_	_	_	_	
1-12	60-63	the	_	_	_	_	_	_	_	
1-13	64-70	height	Restriction	_	Property	To	1-1[1_0]	Of	1-16[4_0]	
1-14	71-73	of	_	_	_	_	_	_	_	
1-15	74-84	classrooms	Subject	_	Class	Concatenation	1-1[1_0]	Domain|Domain	1-1|1-13	
1-16	85-89	must	Restriction[2]	_	Only[4]	Concatenation	1-13[0_2]	_	_	
1-17	90-92	be	Restriction[2]	_	Only[4]	_	_	_	_	
1-18	93-95	at	Restriction[2]	_	Comparison[5]	_	_	_	_	
1-19	96-101	least	Restriction[2]	_	Comparison[5]	_	_	_	_	
1-20	102-105	3.0	Restriction[2]	_	Literal	_	_	Range|Of	1-13|1-18[5_0]	
1-21	106-107	m	Restriction[2]	_	_	_	_	_	_	
1-22	107-108	.	_	_	_	_	_	_	_	
