#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Roles|value
#T_SP=webanno.custom.Types|value
#T_RL=webanno.custom.TypeArrow|value|BT_webanno.custom.Types


#Text=Obesity when accompanied by metabolic abnormality is closely associated with knee osteoarthritis.
1-1	0-7	Obesity	Subject[1]	Class	Domain	1-3[3_0]	
1-2	8-12	when	Subject[1]	_	_	_	
1-3	13-24	accompanied	Subject[1]	Relation[3]	_	_	
1-4	25-27	by	Subject[1]	Relation[3]	_	_	
1-5	28-37	metabolic	Subject[1]	Class[4]	Range	1-3[3_4]	
1-6	38-49	abnormality	Subject[1]	Class[4]	_	_	
1-7	50-52	is	Restriction[2]	Relation[5]	_	_	
1-8	53-60	closely	Restriction[2]	Relation[5]	_	_	
1-9	61-71	associated	Restriction[2]	Relation[5]	_	_	
1-10	72-76	with	Restriction[2]	Relation[5]	_	_	
1-11	77-81	knee	Restriction[2]	Class[6]	Range	1-7[5_6]	
1-12	82-96	osteoarthritis	Restriction[2]	Class[6]	_	_	
1-13	96-97	.	_	_	_	_	
