#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Roles|value
#T_SP=webanno.custom.Types|value
#T_RL=webanno.custom.TypeArrow|value|BT_webanno.custom.Types


#Text=In the Asterix illustrated comic books, incidences of traumatic brain injury lead to no permanent neurological deficits.
1-1	0-2	In	Subject[1]	Relation	_	_	
1-2	3-6	the	Subject[1]	Class[3]	Range	1-1[0_3]	
1-3	7-14	Asterix	Subject[1]	Class[3]	_	_	
1-4	15-26	illustrated	Subject[1]	Class[3]	_	_	
1-5	27-32	comic	Subject[1]	Class[3]	_	_	
1-6	33-38	books	Subject[1]	Class[3]	_	_	
1-7	38-39	,	Subject[1]	_	_	_	
1-8	40-50	incidences	Subject[1]	Class[4]	Domain	1-1[0_4]	
1-9	51-53	of	Subject[1]	Class[4]	_	_	
1-10	54-63	traumatic	Subject[1]	Class[4]	_	_	
1-11	64-69	brain	Subject[1]	Class[4]	_	_	
1-12	70-76	injury	Subject[1]	Class[4]	_	_	
1-13	77-81	lead	Restriction[2]	Relation[5]	_	_	
1-14	82-84	to	Restriction[2]	Relation[5]	_	_	
1-15	85-87	no	Restriction[2]	Not	Range	1-13[5_0]	
1-16	88-97	permanent	Restriction[2]	Class[6]	Of	1-15[0_6]	
1-17	98-110	neurological	Restriction[2]	Class[6]	_	_	
1-18	111-119	deficits	Restriction[2]	Class[6]	_	_	
1-19	119-120	.	_	_	_	_	
